SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_05191,05191,Pradosegar,10.80233097,122.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05192,05192,Puerto Castilla,2.31035644,100.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05193,05193,Rasueros,3.93534881,160.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05194,05194,Riocabado,6.62766737,131.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05195,05195,Riofrío,3.03705577,199.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05196,05196,Rivilla de Barajas,2.54373821,62.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05198,05198,Salvadiós,3.77652401,77.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05200,05200,San Bartolomé de Corneja,5.02934956,37.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05201,05201,San Bartolomé de Pinares,6.73319435,503.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05204,05204,Sanchidrián,26.68151269,710.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05205,05205,Sanchorreja,2.37755306,84.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05206,05206,San Esteban de los Patos,1.93297604,20.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05207,05207,San Esteban del Valle,18.82784574,742.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05208,05208,San Esteban de Zapardiel,3.00250054,39.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05210,05210,San Juan de la Encinilla,3.85538975,67.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05211,05211,San Juan de la Nava,7.19123658,437.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05213,05213,San Juan del Olmo,2.6887018,82.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05215,05215,San Martín de la Vega del Albe,3.24911571,164.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05216,05216,San Martín del Pimpollar,4.77673178,218.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05217,05217,San Miguel de Corneja,10.55690475,72.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05218,05218,San Miguel de Serrezuela,2.99122473,104.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05219,05219,San Pascual,2.35870868,44.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05220,05220,San Pedro del Arroyo,26.85887028,498.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05221,05221,Santa Cruz del Valle,10.93675419,324.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05222,05222,Santa Cruz de Pinares,4.30032073,178.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05224,05224,Santa María del Arroyo,9.05170148,101.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05225,05225,Santa María del Berrocal,13.27795423,377.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05227,05227,Santa María del Tiétar,44.13802516,529.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05228,05228,Santiago del Collado,4.02790245,172.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05229,05229,Santo Domingo de las Posadas,5.46785846,73.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05230,05230,Santo Tomé de Zabarcos,9.15011806,77.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05231,05231,San Vicente de Arévalo,10.29590695,166.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05233,05233,Serranillos,15.3134318,280.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05234,05234,Sigeres,3.28244216,45.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05235,05235,Sinlabajos,6.82123689,137.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05236,05236,Solana de Ávila,1.50629058,103.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05237,05237,Solana de Rioalmar,3.98455524,148.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05238,05238,Solosancho,14.96668789,778.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
