SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_42020,42020,Almazán,32.55983862,5422.0,6,6,0.18427609761906122,0.16666666666666666,1,11.066027296200664,0,6,6,6,3.132140819691035,7.149274075284317,1,0.16666666666666666,directo
ES_42022,42022,Almenar de Soria,2.14168282,227.0,0,0,0.0,0.0,0,0.0,0,0,0,0,50.05612464403453,,0,0.0,aislado
ES_42023,42023,Alpanseque,0.97043708,53.0,0,0,0.0,0.0,0,0.0,0,0,0,0,24.900188012583786,,0,0.0,aislado
ES_42024,42024,Arancón,1.05431499,82.0,0,0,0.0,0.0,0,0.0,0,0,0,0,40.92611425541164,,0,0.0,aislado
ES_42025,42025,Arcos de Jalón,3.44824104,1523.0,0,0,0.0,0.0,0,0.0,0,0,0,0,40.61081797640672,,0,0.0,aislado
ES_42026,42026,Arenillas,1.54652039,47.0,0,0,0.0,0.0,0,0.0,0,0,0,0,30.114679983041107,,0,0.0,aislado
ES_42027,42027,Arévalo de la Sierra,1.82097973,73.0,0,0,0.0,0.0,0,0.0,0,0,0,0,33.49233478511722,,0,0.0,aislado
ES_42028,42028,Ausejo de la Sierra,5.5186827,111.0,0,0,0.0,0.0,0,0.0,0,0,0,0,32.01077527843692,,0,0.0,aislado
ES_42029,42029,Baraona,1.12415415,131.0,0,0,0.0,0.0,0,0.0,0,0,0,0,28.790101535944512,,0,0.0,aislado
ES_42032,42032,Bayubas de Abajo,3.40242022,150.0,0,0,0.0,0.0,0,0.0,0,0,0,0,18.809709535289706,18.809709535289706,0,0.0,aislado
ES_42033,42033,Bayubas de Arriba,3.00758174,62.0,0,0,0.0,0.0,0,0.0,0,0,0,0,11.845082453657378,11.845082453657378,0,0.0,aislado
ES_42034,42034,Beratón,1.12395626,46.0,0,0,0.0,0.0,0,0.0,0,0,0,0,37.268432875725274,,0,0.0,aislado
