osm_id,source_type,name,lat,lon,tags
node/2534230538,node,CC. La Loma - Carrefour,37.7808943,-3.7649309,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'CC. La Loma - Carrefour', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34249'}"
node/2541114662,node,,37.7833462,-3.7894284,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'yes'}"
node/2675627429,node,Vadollano,38.1357775,-3.557949,"{'name': 'Vadollano', 'operator': 'Adif', 'railway': 'service_station'}"
node/3135417755,node,Parada de autobús,38.50994,-3.498325,"{'highway': 'bus_stop', 'name': 'Parada de autobús', 'public_transport': 'platform'}"
node/3351752150,node,Estación de tren,37.7792596,-3.7899853,"{'addr:city': 'Jaén', 'addr:postcode': '23007', 'addr:street': 'Paseo de la Estación', 'bench': 'yes', 'bus': 'yes', 'covered': 'no', 'highway': 'bus_stop', 'name': 'Estación de tren', 'note': 'Parada del bus urbano en la estacion de tren', 'public_transport': 'platform', 'shelter': 'yes', 'source': 'Coordenadas GPS (formato decimal). Latitud,Longitud: 37.780230 , -3.790779', 'website': 'https://www.telesor.es/', 'wheelchair': 'yes'}"
node/3402315653,node,,37.7646561,-3.9491041,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/3663456905,node,Apeadero de Autobuses,37.873837,-3.8831542,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Apeadero de Autobuses', 'public_transport': 'platform'}"
node/3667546084,node,Apeadero de Autobuses,37.7840764,-3.5046156,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Apeadero de Autobuses', 'public_transport': 'platform'}"
node/3715630221,node,,37.981973,-3.5345659,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'yes'}"
node/3720266786,node,,38.0064412,-3.9112466,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/3731885518,node,,37.9729056,-4.1035079,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/3744460287,node,,37.9469783,-4.2108474,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/4012421328,node,"Julio Burell, 4",38.097338,-3.6324658,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Julio Burell, 4', 'public_transport': 'platform'}"
node/4012496250,node,Linares-Baeza 2,38.071833,-3.5881006,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Linares-Baeza 2', 'public_transport': 'platform'}"
node/4012496251,node,Linares-Baeza 1,38.0692143,-3.5893875,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Linares-Baeza 1', 'public_transport': 'platform'}"
node/4012496252,node,Linares-Baeza 4,38.0721628,-3.589662,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Linares-Baeza 4', 'public_transport': 'platform'}"
node/4012496253,node,Linares-Baeza 3,38.0724678,-3.5906006,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Linares-Baeza 3', 'public_transport': 'platform'}"
node/4012496254,node,Leyva 2,38.0779821,-3.6131901,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Leyva 2', 'public_transport': 'platform'}"
node/4012496255,node,Leyva 1,38.0794247,-3.6135317,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Leyva 1', 'public_transport': 'platform'}"
node/4170059919,node,,37.7587761,-3.7944358,"{'bench': 'yes', 'bus': 'yes', 'covered': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/4170059930,node,Carretera Jabalcuz 48,37.7570408,-3.7939672,"{'bench': 'yes', 'bus': 'yes', 'covered': 'yes', 'highway': 'bus_stop', 'name': 'Carretera Jabalcuz 48', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34280'}"
node/4181105680,node,,37.7744769,-3.7941869,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/4185360123,node,Estación de Autobuses,37.7714634,-3.7873403,"{'bus': 'yes', 'name': 'Estación de Autobuses', 'public_transport': 'stop_position'}"
node/4543903002,node,Las Correderas,38.37396,-3.5015139,"{'name': 'Las Correderas', 'operator': 'Adif', 'railway': 'service_station'}"
