cod_prov,cod_muni,municipio,year,population
,,Ajofrín. Hombres. Total habitantes. Personas. ,2024,1173.0
,,Ajofrín. Mujeres. Total habitantes. Personas. ,2024,1177.0
,,Alacón. Total. Total habitantes. Personas. ,2024,208.0
,,Alacón. Hombres. Total habitantes. Personas. ,2024,108.0
,,Alacón. Mujeres. Total habitantes. Personas. ,2024,100.0
,,Aladrén. Total. Total habitantes. Personas. ,2024,62.0
,,Aladrén. Hombres. Total habitantes. Personas. ,2024,40.0
,,Aladrén. Mujeres. Total habitantes. Personas. ,2024,22.0
,,Alaejos. Total. Total habitantes. Personas. ,2024,1407.0
,,Alaejos. Hombres. Total habitantes. Personas. ,2024,747.0
,,Alaejos. Mujeres. Total habitantes. Personas. ,2024,660.0
,,Alagón. Total. Total habitantes. Personas. ,2024,7450.0
,,Alagón. Hombres. Total habitantes. Personas. ,2024,3733.0
,,Alagón. Mujeres. Total habitantes. Personas. ,2024,3717.0
,,Alagón del Río. Total. Total habitantes. Personas. ,2024,909.0
,,Alagón del Río. Hombres. Total habitantes. Personas. ,2024,452.0
,,Alagón del Río. Mujeres. Total habitantes. Personas. ,2024,457.0
,,Alaior. Total. Total habitantes. Personas. ,2024,10042.0
,,Alaior. Hombres. Total habitantes. Personas. ,2024,5047.0
,,Alaior. Mujeres. Total habitantes. Personas. ,2024,4995.0
,,Alájar. Total. Total habitantes. Personas. ,2024,791.0
,,Alájar. Hombres. Total habitantes. Personas. ,2024,401.0
,,Alájar. Mujeres. Total habitantes. Personas. ,2024,390.0
,,Alajeró. Total. Total habitantes. Personas. ,2024,2071.0
,,Alajeró. Hombres. Total habitantes. Personas. ,2024,1087.0
,,Alajeró. Mujeres. Total habitantes. Personas. ,2024,984.0
,,Alameda. Total. Total habitantes. Personas. ,2024,5449.0
,,Alameda. Hombres. Total habitantes. Personas. ,2024,2750.0
,,Alameda. Mujeres. Total habitantes. Personas. ,2024,2699.0
,,"Alameda de Gardón, La. Total. Total habitantes. Personas. ",2024,74.0
,,"Alameda de Gardón, La. Hombres. Total habitantes. Personas. ",2024,38.0
,,"Alameda de Gardón, La. Mujeres. Total habitantes. Personas. ",2024,36.0
,,Alameda de la Sagra. Total. Total habitantes. Personas. ,2024,4239.0
,,Alameda de la Sagra. Hombres. Total habitantes. Personas. ,2024,2239.0
,,Alameda de la Sagra. Mujeres. Total habitantes. Personas. ,2024,2000.0
,,Alameda del Valle. Total. Total habitantes. Personas. ,2024,255.0
,,Alameda del Valle. Hombres. Total habitantes. Personas. ,2024,140.0
,,Alameda del Valle. Mujeres. Total habitantes. Personas. ,2024,115.0
,,Alamedilla. Total. Total habitantes. Personas. ,2024,543.0
,,Alamedilla. Hombres. Total habitantes. Personas. ,2024,277.0
,,Alamedilla. Mujeres. Total habitantes. Personas. ,2024,266.0
,,"Alamedilla, La. Total. Total habitantes. Personas. ",2024,101.0
,,"Alamedilla, La. Hombres. Total habitantes. Personas. ",2024,49.0
,,"Alamedilla, La. Mujeres. Total habitantes. Personas. ",2024,52.0
,,Alamillo. Total. Total habitantes. Personas. ,2024,461.0
,,Alamillo. Hombres. Total habitantes. Personas. ,2024,239.0
,,Alamillo. Mujeres. Total habitantes. Personas. ,2024,222.0
,,Alaminos. Total. Total habitantes. Personas. ,2024,56.0
,,Alaminos. Hombres. Total habitantes. Personas. ,2024,30.0
,,Alaminos. Mujeres. Total habitantes. Personas. ,2024,26.0
,,"Álamo, El. Total. Total habitantes. Personas. ",2024,10430.0
,,"Álamo, El. Hombres. Total habitantes. Personas. ",2024,5151.0
