PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Murcia,ES_30038,30038,"Torres de Cotillas, Las",575.0290,22305.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,45.4760,0.0000,0,0.0000,aislado,30
Navarra,ES_31006,31006,Ablitas,33.5920,2604.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,3,9.4940,15.3080,0,0.0000,periferico,31
Navarra,ES_31016,31016,Ansoáin,5482.2820,10602.0000,4,4,0.0010,1.0000,4,3.7730,4,345,49,455,0.7710,5.5070,0,0.0000,directo,31
Toledo,ES_45027,45027,Cabezamesada,6.2480,374.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,47.5400,0.0000,0,0.0000,aislado,45
Toledo,ES_45038,45038,Carranque,213.3540,5274.0000,8,8,0.0370,0.0000,0,15.1690,0,18,12,68,3.0880,15.5450,0,0.0000,directo,45
Toledo,ES_45049,45049,Cervera de Los Montes,15.8790,503.0000,1,1,0.0630,1.0000,1,19.8810,0,1,1,5,2.3750,14.1780,0,0.0000,directo,45
Toledo,ES_45061,45061,Escalona,50.1960,3672.0000,47,47,0.9360,0.2340,11,127.9960,2,44,47,61,0.6010,9.3840,0,0.0000,directo,45
Palencia,ES_34103,34103,Mazuecos de Valdeginate,4.6280,86.0000,0,0,0.0000,0.0000,0,0.0000,0,1,0,3,3.4970,14.7060,0,0.0000,periferico,34
Palencia,ES_34131,34131,Población de Arroyo,1.9680,45.0000,1,1,0.5080,0.0000,0,222.2220,0,1,1,1,1.7170,14.0600,0,0.0000,directo,34
Palencia,ES_34168,34168,Santa Cruz de Boedo,1.9200,49.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,22.4160,0.0000,0,0.0000,aislado,34
Palencia,ES_34182,34182,Torquemada,11.3200,947.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,24.2110,0.0000,0,0.0000,aislado,34
Palencia,ES_34204,34204,Villacidaler,2.1120,46.0000,0,0,0.0000,0.0000,0,0.0000,0,3,0,6,4.3030,12.3520,0,0.0000,periferico,34
Palencia,ES_34217,34217,Villalobón,98.4820,1873.0000,0,0,0.0000,0.0000,0,0.0000,0,24,0,239,4.4680,6.9330,0,0.0000,periferico,34
Valladolid,ES_47135,47135,Robladillo,10.4000,92.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,1,7.2540,16.7570,0,0.0000,periferico,47
Valladolid,ES_47146,47146,San Miguel del Pino,47.1520,351.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,10.1440,17.1220,0,0.0000,aislado,47
Valladolid,ES_47166,47166,Torrecilla de la Abadesa,9.2480,253.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,13.6920,16.6530,0,0.0000,aislado,47
Valencia,ES_46202,46202,"Pobla de Vallbona, La",802.8120,26685.0000,2,2,0.0020,1.0000,2,0.7490,0,17,7,50,2.4250,9.3060,0,0.0000,directo,46
Valencia,ES_46212,46212,Real,131.5740,2407.0000,4,4,0.0300,1.0000,4,16.6180,0,8,8,27,3.4760,13.0200,0,0.0000,directo,46
Valencia,ES_46221,46221,Salem,46.9510,404.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,22.7840,0.0000,0,0.0000,aislado,46
Valencia,ES_46230,46230,Silla,786.3480,19690.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,18.3730,18.7920,0,0.0000,aislado,46
Valencia,ES_46249,46249,Utiel,48.9960,11607.0000,12,12,0.2450,0.8330,10,10.3390,0,0,14,25,6.2250,13.1540,0,0.0000,directo,46
Soria,ES_42103,42103,Langa de Duero,3.6750,698.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,28.4280,0.0000,0,0.0000,aislado,42
Soria,ES_42119,42119,Monteagudo de las Vicarías,1.8030,175.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,80.5470,0.0000,0,0.0000,aislado,42
Soria,ES_42159,42159,Rollamienta,2.4170,45.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,21.6530,0.0000,0,0.0000,aislado,42
Soria,ES_42171,42171,Serón de Nágima,1.9600,118.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,65.8880,0.0000,0,0.0000,aislado,42
Soria,ES_42185,42185,Torreblacos,1.4870,26.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,23.0650,0.0000,0,0.0000,aislado,42
Soria,ES_42197,42197,Valderrodilla,1.9560,63.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,34.6950,0.0000,0,0.0000,aislado,42
Soria,ES_42211,42211,"Villares de Soria, Los",5.8430,84.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,29.8960,0.0000,0,0.0000,aislado,42
Guadalajara,ES_19265,19265,Tartanedo,1.0720,159.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,47.3640,0.0000,0,0.0000,aislado,19
